Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Island,Clutch Completion,Sex
49.3,15.7,217.0,5850.0,8.07137,-25.52473,1,0,0
48.5,17.5,191.0,3400.0,9.42666,-24.26375,2,0,0
42.7,18.3,196.0,4075.0,8.91434,-26.42018,1,0,0
46.4,17.8,191.0,3700.0,9.37369,-24.52896,2,0,1
49.8,17.3,198.0,3675.0,9.32169,-24.41562,2,0,1
45.2,16.6,191.0,3250.0,9.62357,-24.78984,2,0,1
49.4,15.8,216.0,4925.0,8.03624,-26.06594,1,0,0
50.9,17.9,196.0,3675.0,9.43684,-24.16566,2,0,1
38.9,17.8,181.0,3625.0,9.18718,-25.21799,0,1,1
45.8,18.9,197.0,4150.0,8.18658,-26.45978,0,0,0
49.2,15.2,221.0,6300.0,8.27376,-25.00169,1,0,0
41.3,20.3,194.0,3550.0,9.14863,-26.09635,2,0,0
35.2,15.9,186.0,3050.0,8.81668,-25.95399,0,0,1
47.0,17.3,185.0,3700.0,8.72037,-24.80526,2,0,1
50.1,15.0,225.0,5000.0,8.50153,-26.61414,1,0,0
51.1,16.3,220.0,6000.0,8.40327,-26.76821,1,0,0
35.7,16.9,185.0,3150.0,8.96472,-26.40943,1,0,1
50.2,18.8,202.0,3800.0,9.74492,-24.404,2,0,0
58.0,17.8,181.0,3700.0,9.14382,-24.57994,2,1,1
50.4,15.3,224.0,5550.0,8.74647,-26.79846,1,0,0
45.3,13.7,210.0,4300.0,8.37615,-26.72791,1,0,1
35.9,16.6,190.0,3050.0,8.47781,-26.07821,0,1,1
40.6,18.6,183.0,3550.0,8.93997,-25.36288,1,0,0
37.8,18.3,174.0,3400.0,8.73762,-25.09383,1,0,1
46.2,17.5,187.0,3650.0,9.61734,-24.66188,2,0,1
47.8,15.0,215.0,5650.0,7.92358,-25.48383,1,0,0
46.2,14.4,214.0,4650.0,8.24253,-26.8154,1,0,-1
50.0,15.2,218.0,5700.0,8.2554,-25.40075,1,0,0
45.2,13.8,215.0,4750.0,8.24694,-26.65359,1,0,1
44.9,13.3,213.0,5100.0,8.45167,-26.89644,1,0,1
44.9,13.8,212.0,4750.0,8.11238,-26.20372,1,0,1
47.3,13.8,216.0,4725.0,8.25818,-26.23886,1,0,-1
49.6,15.0,216.0,4750.0,8.26548,-26.7699,1,0,0
53.4,15.8,219.0,5500.0,8.41017,-26.33867,1,0,0
46.1,13.2,211.0,4500.0,7.993,-25.5139,1,0,1
40.3,18.0,195.0,3250.0,8.36821,-25.33302,0,0,1
42.1,19.1,195.0,4000.0,9.05736,-25.81513,0,0,0
36.4,17.0,195.0,3325.0,9.17847,-25.23061,2,0,1
35.5,17.5,190.0,3700.0,8.70642,-26.15003,0,0,1
38.1,17.6,187.0,3425.0,8.717,-25.77951,2,0,1
37.2,18.1,178.0,3900.0,9.72764,-25.0102,2,0,0
