Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Clutch Completion,Sex,Species
47.6,14.5,215.0,5400.0,8.2345,-25.54456,0,0,2
38.3,19.2,189.0,3950.0,9.07826,-26.12417,0,0,0
55.8,19.8,207.0,4000.0,9.70465,-24.53494,0,0,1
46.8,16.1,215.0,5500.0,8.32359,-26.05756,0,0,2
46.2,14.1,217.0,4375.0,8.30231,-25.96013,0,1,2
48.8,16.2,222.0,6000.0,8.33825,-25.88547,0,0,2
53.4,15.8,219.0,5500.0,8.41017,-26.33867,0,0,2
37.3,20.5,199.0,3775.0,9.49645,-26.36678,0,0,0
45.7,17.3,193.0,3600.0,9.415,-24.805,0,1,1
49.8,15.9,229.0,5950.0,8.29226,-26.21019,0,0,2
36.7,19.3,193.0,3450.0,8.76651,-25.32426,0,1,0
36.5,18.0,182.0,3150.0,9.68933,-24.4228,0,1,0
42.7,13.7,208.0,3950.0,8.14567,-26.59467,1,1,2
46.2,14.5,209.0,4800.0,7.84057,-25.37899,0,1,2
47.0,17.3,185.0,3700.0,8.72037,-24.80526,0,1,1
46.8,14.3,215.0,4850.0,8.41151,-26.13832,0,1,2
49.2,15.2,221.0,6300.0,8.27376,-25.00169,0,0,2
49.2,18.2,195.0,4400.0,9.27158,-24.64335,0,0,1
45.3,13.8,208.0,4200.0,8.65015,-26.79053,0,1,2
38.1,18.6,190.0,3700.0,8.10277,-26.50086,0,1,0
39.7,18.4,190.0,3900.0,9.29808,-25.23453,0,0,0
48.7,14.1,210.0,4450.0,8.14705,-25.46172,0,1,2
35.2,15.9,186.0,3050.0,8.81668,-25.95399,0,1,0
55.1,16.0,230.0,5850.0,8.08354,-26.18161,0,0,2
50.1,17.9,190.0,3400.0,9.46819,-24.45721,0,1,1
44.1,18.0,210.0,4000.0,9.10702,-26.01363,0,0,0
41.1,18.1,205.0,4300.0,8.77018,-25.83352,0,0,0
46.0,18.9,195.0,4150.0,8.47173,-24.29229,0,1,1
38.8,17.2,180.0,3800.0,9.63954,-25.29856,0,0,0
46.9,14.6,222.0,4875.0,7.8881,-26.04726,0,1,2
46.5,14.8,217.0,5200.0,8.58487,-26.5929,0,1,2
51.1,16.5,225.0,5250.0,8.2066,-26.36863,0,0,2
40.6,18.6,183.0,3550.0,8.93997,-25.36288,0,0,0
34.4,18.4,184.0,3325.0,8.47827,-25.23319,0,1,0
50.9,17.9,196.0,3675.0,9.43684,-24.16566,0,1,1
35.0,17.9,190.0,3450.0,8.19539,-26.17213,0,1,0
48.1,16.4,199.0,3325.0,9.46929,-24.48403,0,1,1
43.1,19.2,197.0,3500.0,8.86495,-26.1396,1,0,0
37.8,18.1,193.0,3750.0,8.97533,-26.03495,0,0,0
36.3,19.5,190.0,3800.0,8.57087,-26.22227,0,0,0
37.9,18.6,193.0,2925.0,9.02642,-25.86482,0,1,0
37.5,18.9,179.0,2975.0,8.733381696969701,-25.68629154078549,0,-1,0
35.7,17.0,189.0,3350.0,8.96436,-23.90309,0,1,0
41.5,18.3,195.0,4300.0,8.52566,-26.0245,0,0,0
42.6,13.7,213.0,4950.0,7.96935,-26.70968,0,1,2
39.6,17.2,196.0,3550.0,8.33524,-26.55351,0,1,0
48.5,15.0,219.0,4850.0,8.10231,-26.18763,0,1,2
50.5,18.4,200.0,3400.0,8.9399,-23.89017,1,1,1
34.6,17.2,189.0,3200.0,7.69778,-26.5387,0,1,0
50.0,15.9,224.0,5350.0,8.20042,-26.39677,0,0,2
39.0,17.1,191.0,3050.0,9.19031,-25.73722,0,1,0
47.2,13.7,214.0,4925.0,7.99184,-26.20538,1,1,2
42.0,13.5,210.0,4150.0,7.63884,-25.52627,0,1,2
46.0,21.5,194.0,4200.0,9.11616,-24.77227,0,0,0
37.7,19.8,198.0,3500.0,9.11066,-26.42563,1,0,0
50.4,15.7,222.0,5750.0,8.30166,-26.04117,0,0,2
43.4,14.4,218.0,4600.0,8.23468,-26.18599,0,1,2
46.1,13.2,211.0,4500.0,7.993,-25.5139,0,1,2
39.5,17.8,188.0,3300.0,9.66523,-25.0602,0,1,0
50.3,20.0,197.0,3300.0,10.02019,-24.54704,1,0,1
49.5,19.0,200.0,3800.0,9.63074,-24.34684,1,0,1
41.4,18.5,202.0,3875.0,9.59462,-25.42621,0,0,0
48.1,15.1,209.0,5500.0,8.45738,-26.22664,0,0,2
49.0,19.6,212.0,4300.0,9.34089,-24.45189,0,0,1
45.2,14.8,212.0,5200.0,8.24246,-26.11969,0,1,2
41.7,14.7,210.0,4700.0,8.12311,-26.44815,0,1,2
49.6,15.0,216.0,4750.0,8.26548,-26.7699,0,0,2
48.4,14.4,203.0,4625.0,8.16582,-26.13971,0,1,2
41.1,19.1,188.0,4100.0,8.71078,-25.81012,0,0,0
42.8,18.5,195.0,4250.0,8.2993,-26.38986,0,0,0
39.5,16.7,178.0,3250.0,9.69756,-25.11223,0,1,0
40.5,17.9,187.0,3200.0,8.08138,-25.49448,0,1,0
50.1,15.0,225.0,5000.0,8.50153,-26.61414,0,0,2
41.0,20.0,203.0,4725.0,9.01079,-26.38085,0,0,0
44.5,15.7,217.0,4875.0,8.04111,-26.18444,0,2,2
50.7,15.0,223.0,5550.0,8.63551,-26.74249,0,0,2
50.7,19.7,203.0,4050.0,9.93727,-24.59066,0,0,1
37.3,16.8,192.0,3000.0,9.06829,-25.85203,0,1,0
48.7,15.7,208.0,5350.0,8.14776,-26.84506,0,0,2
40.3,18.0,195.0,3250.0,8.36821,-25.33302,0,1,0
52.7,19.8,197.0,3725.0,9.00642,-24.61867,0,0,1
39.2,21.1,196.0,4150.0,9.15308,-25.03469,0,0,0
48.5,17.5,191.0,3400.0,9.42666,-24.26375,0,0,1
50.9,19.1,196.0,3550.0,10.02372,-24.86594,0,0,1
47.6,18.3,195.0,3850.0,8.83502,-24.65859,0,1,1
42.1,19.1,195.0,4000.0,9.05736,-25.81513,0,0,0
43.2,16.6,187.0,2900.0,9.35416,-25.01185,1,1,1
35.3,18.9,187.0,3800.0,9.21292,-24.3613,0,1,0
51.0,18.8,203.0,4100.0,9.23196,-24.17282,0,0,1
39.7,18.9,184.0,3550.0,8.85699,-25.80208,0,0,0
41.8,19.4,198.0,4450.0,8.86853,-26.06209,1,0,0
35.0,17.9,192.0,3725.0,8.84451,-26.28055,0,1,0
51.5,18.7,187.0,3250.0,9.6895,-24.43062,0,0,1
39.6,17.7,186.0,3500.0,8.46616,-26.12989,0,1,0
38.9,18.8,190.0,3600.0,8.36936,-26.11199,0,1,0
34.5,18.1,187.0,2900.0,8.41837,-26.54718,0,1,0
43.6,13.9,217.0,4900.0,8.27141,-26.7765,0,1,2
42.9,13.1,215.0,5000.0,7.68528,-25.39181,0,1,2
40.2,20.1,200.0,3975.0,8.95998,-26.32601,0,0,0
36.7,18.8,187.0,3800.0,7.88494,-26.24837,0,1,0
47.3,13.8,216.0,4725.0,8.25818,-26.23886,0,-1,2
37.8,18.3,174.0,3400.0,8.73762,-25.09383,0,1,0
52.0,18.1,201.0,4050.0,9.0233,-24.38933,0,0,1
45.1,14.5,215.0,5000.0,7.6322,-25.46569,0,1,2
43.5,15.2,213.0,4650.0,8.21634,-26.11046,0,1,2
40.9,16.6,187.0,3200.0,9.08458,-24.54903,0,1,1
49.0,19.5,210.0,3950.0,9.53262,-24.66867,0,0,1
48.6,16.0,230.0,5800.0,8.5964,-26.71199,0,0,2
51.3,19.9,198.0,3700.0,8.79581,-24.36088,0,0,1
42.7,18.3,196.0,4075.0,8.91434,-26.42018,0,0,0
55.9,17.0,228.0,5600.0,8.3118,-26.35425,0,0,2
41.1,18.6,189.0,3325.0,9.32277,-26.09989,0,0,0
50.2,18.7,198.0,3775.0,9.39305,-24.25255,0,1,1
37.6,19.1,194.0,3750.0,9.108,-25.89677,0,0,0
51.4,19.0,201.0,3950.0,9.43782,-24.36202,0,0,1
45.5,13.7,214.0,4650.0,7.77672,-25.4168,0,1,2
42.2,18.5,180.0,3550.0,8.04787,-25.49523,0,1,0
52.2,17.1,228.0,5400.0,8.36701,-25.89834,0,0,2
45.2,16.4,223.0,5950.0,8.19749,-26.65931,0,0,2
36.5,16.6,181.0,2850.0,9.07878,-25.88156,0,1,0
47.5,16.8,199.0,3900.0,9.07825,-25.1455,0,1,1
45.5,15.0,220.0,5000.0,8.63604,-26.7489,0,0,2
40.3,18.5,196.0,4350.0,8.39459,-26.01152,0,0,0
49.7,18.6,195.0,3600.0,9.75486,-24.31198,0,0,1
35.9,16.6,190.0,3050.0,8.47781,-26.07821,1,1,0
47.8,15.0,215.0,5650.0,7.92358,-25.48383,0,0,2
33.5,19.0,190.0,3600.0,7.88863,-26.63085,0,1,0
45.2,16.6,191.0,3250.0,9.62357,-24.78984,0,1,1
40.7,17.0,190.0,3725.0,9.05674,-25.79529,0,0,0
35.5,16.2,195.0,3350.0,8.56192,-25.95541,0,1,0
41.1,19.0,182.0,3425.0,8.733381696969701,-25.68629154078549,0,0,0
50.8,17.3,228.0,5600.0,8.27428,-26.30019,0,0,2
49.1,14.5,212.0,4625.0,8.35802,-26.2766,0,1,2
44.9,13.8,212.0,4750.0,8.11238,-26.20372,0,1,2
47.5,14.0,212.0,4875.0,8.12691,-26.23613,0,1,2
50.2,18.8,202.0,3800.0,9.74492,-24.404,0,0,1
50.0,16.3,230.0,5700.0,8.14756,-25.39369,0,0,2
50.5,15.9,222.0,5550.0,8.46894,-26.60436,0,0,2
51.1,16.3,220.0,6000.0,8.40327,-26.76821,0,0,2
51.3,19.2,193.0,3650.0,9.29078,-24.7557,0,0,1
48.5,14.1,220.0,5300.0,8.39867,-26.79358,0,0,2
35.7,18.0,202.0,3550.0,8.46531,-26.05621,0,1,0
41.1,18.2,192.0,4050.0,8.62264,-26.60023,0,0,0
45.4,18.7,188.0,3525.0,8.64701,-24.62717,0,1,1
41.1,17.5,190.0,3900.0,8.94365,-26.06943,0,0,0
38.2,20.0,190.0,3900.0,9.59245,-25.70711,0,0,0
47.3,15.3,222.0,5250.0,8.733381696969701,-25.68629154078549,0,0,2
42.0,20.2,190.0,4250.0,9.13362,-25.09368,0,-1,0
42.5,20.7,197.0,4500.0,8.67538,-25.13993,0,0,0
39.0,17.5,186.0,3550.0,8.57199,-26.07188,0,1,0
49.3,19.9,203.0,4050.0,9.88809,-24.59513,0,0,1
39.0,18.7,185.0,3650.0,9.22033,-26.03442,0,0,0
47.5,14.2,209.0,4600.0,8.39299,-26.78733,0,1,2
36.8,18.5,193.0,3500.0,8.98705,-25.57647,0,1,0
45.6,19.4,194.0,3525.0,9.46985,-24.65786,0,1,1
42.0,19.5,200.0,4050.0,8.48095,-26.3146,0,0,0
43.2,18.5,192.0,4100.0,8.97025,-26.03679,0,0,0
51.7,20.3,194.0,3775.0,8.68747,-24.38751,0,0,1
