Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Clutch Completion,Sex,Species
40.9,18.9,184.0,3900.0,8.79665,-25.14591,0,0,0
49.7,18.6,195.0,3600.0,9.75486,-24.31198,0,0,1
38.1,17.6,187.0,3425.0,8.717,-25.77951,0,1,0
52.1,17.0,230.0,5550.0,8.27595,-26.11657,0,0,2
52.5,15.6,221.0,5450.0,8.28601,-26.27573,0,0,2
43.6,13.9,217.0,4900.0,8.27141,-26.7765,0,1,2
45.2,14.8,212.0,5200.0,8.24246,-26.11969,0,1,2
50.4,15.3,224.0,5550.0,8.74647,-26.79846,0,0,2
48.7,15.7,208.0,5350.0,8.14776,-26.84506,0,0,2
50.5,15.2,216.0,5000.0,8.24691,-26.18466,0,1,2
48.1,16.4,199.0,3325.0,9.46929,-24.48403,0,1,1
33.1,16.1,178.0,2900.0,9.04218,-26.15775,0,1,0
37.8,18.3,174.0,3400.0,8.73762,-25.09383,0,1,0
44.1,18.0,210.0,4000.0,9.10702,-26.01363,0,0,0
41.4,18.6,191.0,3700.0,8.35396,-26.27853,0,0,0
47.5,14.0,212.0,4875.0,8.12691,-26.23613,0,1,2
49.8,16.8,230.0,5700.0,8.47067,-26.69166,0,0,2
36.0,18.5,186.0,3100.0,9.50772,-25.03492,0,1,0
37.7,16.0,183.0,3075.0,9.2151,-26.2253,0,1,0
46.2,14.9,221.0,5300.0,8.60092,-26.84374,0,0,2
35.2,15.9,186.0,3050.0,8.81668,-25.95399,0,1,0
46.8,14.3,215.0,4850.0,8.41151,-26.13832,0,1,2
42.6,13.7,213.0,4950.0,7.96935,-26.70968,0,1,2
41.1,18.6,189.0,3325.0,9.32277,-26.09989,0,0,0
50.5,15.9,222.0,5550.0,8.46894,-26.60436,0,0,2
53.5,19.9,205.0,4500.0,10.02544,-24.90816,1,0,1
41.3,21.1,195.0,4400.0,8.74802,-26.37809,0,0,0
49.6,18.2,193.0,3775.0,9.4618,-24.70615,1,0,1
43.3,13.4,209.0,4400.0,8.13643,-25.32176,0,1,2
50.8,15.7,226.0,5200.0,8.27102,-26.11244,0,0,2
45.2,16.4,223.0,5950.0,8.19749,-26.65931,0,0,2
39.6,20.7,191.0,3900.0,8.80967,-26.78958,0,1,0
41.1,18.1,205.0,4300.0,8.77018,-25.83352,0,0,0
42.8,14.2,209.0,4700.0,7.63452,-25.46327,0,1,2
36.4,17.1,184.0,2850.0,8.62623,-26.1165,0,1,0
40.7,17.0,190.0,3725.0,9.05674,-25.79529,0,0,0
42.0,20.2,190.0,4250.0,9.13362,-25.09368,0,-1,0
41.5,18.3,195.0,4300.0,8.52566,-26.0245,0,0,0
45.2,16.6,191.0,3250.0,9.62357,-24.78984,0,1,1
50.8,19.0,210.0,4100.0,9.98044,-24.68741,0,0,1
48.6,16.0,230.0,5800.0,8.5964,-26.71199,0,0,2
39.2,19.6,195.0,4675.0,9.4606,-24.89958,1,0,0
46.1,13.2,211.0,4500.0,7.993,-25.5139,0,1,2
42.0,13.5,210.0,4150.0,7.63884,-25.52627,0,1,2
39.0,17.5,186.0,3550.0,8.57199,-26.07188,0,1,0
39.3,20.6,190.0,3650.0,8.66496,-25.29805,0,0,0
43.5,14.2,220.0,4700.0,8.64931,-26.68867,0,1,2
45.5,17.0,196.0,3500.0,9.36493,-24.66259,0,1,1
55.9,17.0,228.0,5600.0,8.3118,-26.35425,0,0,2
36.2,16.1,187.0,3550.0,7.82381,-26.51382,0,1,0
37.7,18.7,180.0,3600.0,8.66271,-25.0639,0,0,0
37.8,17.3,180.0,3700.0,8.733381696969698,-25.6862915407855,0,-1,0
34.4,18.4,184.0,3325.0,8.47827,-25.23319,0,1,0
44.5,14.7,214.0,4850.0,8.20106,-26.16524,0,1,2
39.7,18.9,184.0,3550.0,8.85699,-25.80208,0,0,0
52.7,19.8,197.0,3725.0,9.00642,-24.61867,0,0,1
52.0,18.1,201.0,4050.0,9.0233,-24.38933,0,0,1
46.7,17.9,195.0,3300.0,9.74144,-24.59467,1,1,1
34.1,18.1,193.0,3475.0,8.733381696969698,-25.6862915407855,0,-1,0
43.5,15.2,213.0,4650.0,8.21634,-26.11046,0,1,2
49.1,14.5,212.0,4625.0,8.35802,-26.2766,0,1,2
49.0,19.5,210.0,3950.0,9.53262,-24.66867,0,0,1
46.5,13.5,210.0,4550.0,7.9953,-25.32829,0,1,2
39.1,18.7,181.0,3750.0,8.733381696969698,-25.6862915407855,0,0,0
40.3,18.5,196.0,4350.0,8.39459,-26.01152,0,0,0
49.9,16.1,213.0,5400.0,8.3639,-26.15531,0,0,2
49.0,19.6,212.0,4300.0,9.34089,-24.45189,0,0,1
52.2,18.8,197.0,3450.0,9.77528,-24.56481,0,0,1
48.1,15.1,209.0,5500.0,8.45738,-26.22664,0,0,2
47.5,15.0,218.0,4950.0,8.29671,-26.08547,0,1,2
41.6,18.0,192.0,3950.0,8.85562,-26.09294,0,0,0
47.5,14.2,209.0,4600.0,8.39299,-26.78733,0,1,2
52.8,20.0,205.0,4550.0,9.25177,-24.69638,0,0,1
40.5,17.9,187.0,3200.0,8.08138,-25.49448,0,1,0
46.4,15.0,216.0,4700.0,8.47938,-26.9547,0,1,2
46.8,16.1,215.0,5500.0,8.32359,-26.05756,0,0,2
49.3,19.9,203.0,4050.0,9.88809,-24.59513,0,0,1
48.8,16.2,222.0,6000.0,8.33825,-25.88547,0,0,2
41.4,18.5,202.0,3875.0,9.59462,-25.42621,0,0,0
42.5,17.3,187.0,3350.0,9.56534,-24.60882,0,1,1
40.2,17.0,176.0,3450.0,9.30722,-25.61039,0,1,0
40.6,17.2,187.0,3475.0,9.23408,-26.01549,0,0,0
50.7,19.7,203.0,4050.0,9.93727,-24.59066,0,0,1
58.0,17.8,181.0,3700.0,9.14382,-24.57994,1,1,1
46.0,21.5,194.0,4200.0,9.11616,-24.77227,0,0,0
37.3,20.5,199.0,3775.0,9.49645,-26.36678,0,0,0
54.2,20.8,201.0,4300.0,9.49283,-24.59996,0,0,1
44.5,14.3,216.0,4100.0,7.96621,-25.69327,0,-1,2
59.6,17.0,230.0,6050.0,7.76843,-25.6821,0,0,2
51.3,14.2,218.0,5300.0,8.15426,-26.3433,0,0,2
54.3,15.7,231.0,5650.0,8.49662,-26.84166,0,0,2
50.0,16.3,230.0,5700.0,8.14756,-25.39369,0,0,2
36.6,17.8,185.0,3700.0,8.733381696969698,-25.6862915407855,0,1,0
41.1,17.6,182.0,3200.0,8.733381696969698,-25.6862915407855,0,1,0
48.4,16.3,220.0,5400.0,8.03659,-26.86127,0,0,2
44.9,13.8,212.0,4750.0,8.11238,-26.20372,0,1,2
44.5,15.7,217.0,4875.0,8.04111,-26.18444,0,2,2
47.3,13.8,216.0,4725.0,8.25818,-26.23886,0,-1,2
49.4,15.8,216.0,4925.0,8.03624,-26.06594,0,0,2
42.8,18.5,195.0,4250.0,8.2993,-26.38986,0,0,0
45.4,14.6,211.0,4800.0,8.24515,-25.46782,0,1,2
35.9,19.2,189.0,3800.0,9.22286,-25.03474,0,1,0
50.8,17.3,228.0,5600.0,8.27428,-26.30019,0,0,2
36.0,17.1,187.0,3700.0,8.93465,-26.07081,0,1,0
46.6,14.2,210.0,4850.0,8.38289,-26.86352,0,1,2
49.2,18.2,195.0,4400.0,9.27158,-24.64335,0,0,1
50.7,15.0,223.0,5550.0,8.63551,-26.74249,0,0,2
47.6,14.5,215.0,5400.0,8.2345,-25.54456,0,0,2
39.6,17.2,196.0,3550.0,8.33524,-26.55351,0,1,0
45.7,17.0,195.0,3650.0,9.26715,-24.31912,0,1,1
35.1,19.4,193.0,4200.0,8.90002,-26.46254,0,0,0
37.5,18.9,179.0,2975.0,8.733381696969698,-25.6862915407855,0,-1,0
50.1,15.0,225.0,5000.0,8.50153,-26.61414,0,0,2
40.6,18.6,183.0,3550.0,8.93997,-25.36288,0,0,0
40.2,20.1,200.0,3975.0,8.95998,-26.32601,0,0,0
45.3,13.7,210.0,4300.0,8.37615,-26.72791,0,1,2
45.7,13.9,214.0,4400.0,8.6287,-26.60484,0,1,2
50.2,14.3,218.0,5700.0,7.8962,-25.37746,0,0,2
51.3,19.2,193.0,3650.0,9.29078,-24.7557,0,0,1
50.8,18.5,201.0,4450.0,9.45827,-24.35575,0,0,1
49.1,14.8,220.0,5150.0,7.89744,-26.63405,0,1,2
34.0,17.1,185.0,3400.0,8.01485,-26.69543,0,1,0
38.6,21.2,191.0,3800.0,8.733381696969698,-25.6862915407855,0,0,0
39.8,19.1,184.0,4650.0,8.733381696969698,-25.6862915407855,1,0,0
38.2,18.1,185.0,3950.0,8.43423,-25.22664,0,0,0
42.9,17.6,196.0,4700.0,8.63259,-26.23027,0,0,0
39.5,17.8,188.0,3300.0,9.66523,-25.0602,0,1,0
50.5,18.4,200.0,3400.0,8.9399,-23.89017,1,1,1
40.9,16.8,191.0,3700.0,8.47257,-26.02002,0,1,0
37.6,19.3,181.0,3300.0,9.41131,-25.04169,1,1,0
47.8,15.0,215.0,5650.0,7.92358,-25.48383,0,0,2
46.5,14.4,217.0,4900.0,8.48789,-26.83006,0,1,2
51.4,19.0,201.0,3950.0,9.43782,-24.36202,0,0,1
47.2,13.7,214.0,4925.0,7.99184,-26.20538,1,1,2
51.3,19.9,198.0,3700.0,8.79581,-24.36088,0,0,1
35.7,16.9,185.0,3150.0,8.96472,-26.40943,0,1,0
49.3,15.7,217.0,5850.0,8.07137,-25.52473,0,0,2
37.3,16.8,192.0,3000.0,9.06829,-25.85203,0,1,0
37.9,18.6,193.0,2925.0,9.02642,-25.86482,0,1,0
37.0,16.5,185.0,3400.0,8.61651,-26.07021,1,1,0
45.3,13.8,208.0,4200.0,8.65015,-26.79053,0,1,2
45.8,18.9,197.0,4150.0,8.18658,-26.45978,0,0,0
35.5,16.2,195.0,3350.0,8.56192,-25.95541,0,1,0
35.6,17.5,191.0,3175.0,8.75984,-25.97696,0,1,0
46.6,17.8,193.0,3800.0,8.95063,-24.59897,0,1,1
47.0,17.3,185.0,3700.0,8.72037,-24.80526,0,1,1
42.2,18.5,180.0,3550.0,8.04787,-25.49523,0,1,0
49.0,16.1,216.0,5550.0,8.10417,-25.50562,1,0,2
43.2,19.0,197.0,4775.0,9.31735,-25.45171,0,0,0
48.7,15.1,222.0,5350.0,7.96491,-25.39587,0,0,2
50.5,15.9,225.0,5400.0,8.65803,-26.57585,1,0,2
43.4,14.4,218.0,4600.0,8.23468,-26.18599,0,1,2
46.1,18.2,178.0,3250.0,8.85664,-24.55644,0,1,1
38.5,17.9,190.0,3325.0,8.9846,-25.57956,1,1,0
52.0,19.0,197.0,4150.0,9.36799,-24.47142,1,0,1
50.3,20.0,197.0,3300.0,10.02019,-24.54704,1,0,1
46.1,15.1,215.0,5100.0,7.83733,-25.42826,0,0,2
50.2,18.8,202.0,3800.0,9.74492,-24.404,0,0,1
35.0,17.9,190.0,3450.0,8.19539,-26.17213,0,1,0
37.9,18.6,172.0,3150.0,8.38404,-25.19837,1,1,0
37.0,16.9,185.0,3000.0,9.36392,-25.01745,0,1,0
45.9,17.1,190.0,3575.0,9.12277,-24.90024,0,1,1
39.0,17.1,191.0,3050.0,9.19031,-25.73722,0,1,0
51.9,19.5,206.0,3950.0,8.733381696969698,-23.78767,0,0,1
48.2,14.3,210.0,4600.0,7.6887,-25.50811,0,1,2
45.5,14.5,212.0,4750.0,8.15566,-26.22848,0,1,2
49.8,17.3,198.0,3675.0,9.32169,-24.41562,0,1,1
45.8,14.2,219.0,4700.0,8.60447,-26.61601,0,1,2
36.8,18.5,193.0,3500.0,8.98705,-25.57647,0,1,0
51.1,16.5,225.0,5250.0,8.2066,-26.36863,0,0,2
44.1,19.7,196.0,4400.0,9.2372,-24.52698,0,0,0
45.2,15.8,215.0,5300.0,8.55868,-26.67799,0,0,2
39.7,17.9,193.0,4250.0,9.25769,-25.88798,1,0,0
37.8,20.0,190.0,4250.0,9.51929,-25.69199,0,0,0
43.8,13.9,208.0,4300.0,8.58319,-26.84415,0,1,2
42.1,19.1,195.0,4000.0,9.05736,-25.81513,0,0,0
48.7,14.1,210.0,4450.0,8.14705,-25.46172,0,1,2
35.3,18.9,187.0,3800.0,9.21292,-24.3613,0,1,0
48.5,17.5,191.0,3400.0,9.42666,-24.26375,0,0,1
36.5,16.6,181.0,2850.0,9.07878,-25.88156,0,1,0
35.7,17.0,189.0,3350.0,8.96436,-23.90309,0,1,0
50.4,15.7,222.0,5750.0,8.30166,-26.04117,0,0,2
37.8,17.1,186.0,3300.0,8.63243,-25.21315,0,-1,0
46.5,14.5,213.0,4400.0,7.90436,-25.3947,0,1,2
40.6,19.0,199.0,4000.0,9.22537,-25.60826,0,0,0
37.7,19.8,198.0,3500.0,9.11066,-26.42563,1,0,0
41.5,18.5,201.0,4000.0,8.8964,-26.06967,0,0,0
40.9,16.6,187.0,3200.0,9.08458,-24.54903,0,1,1
41.8,19.4,198.0,4450.0,8.86853,-26.06209,1,0,0
40.2,17.1,193.0,3400.0,9.2881,-25.54976,0,1,0
39.5,17.4,186.0,3800.0,8.94956,-24.69454,0,1,0
44.0,13.6,208.0,4350.0,8.01979,-26.68311,0,1,2
46.4,17.8,191.0,3700.0,9.37369,-24.52896,0,1,1
49.5,19.0,200.0,3800.0,9.63074,-24.34684,1,0,1
51.3,18.2,197.0,3750.0,8.63701,-24.84059,0,0,1
50.0,15.2,218.0,5700.0,8.2554,-25.40075,0,0,2
40.6,18.8,193.0,3800.0,8.56674,-25.98843,0,0,0
33.5,19.0,190.0,3600.0,7.88863,-26.63085,0,1,0
45.2,13.8,215.0,4750.0,8.24694,-26.65359,0,1,2
36.3,19.5,190.0,3800.0,8.57087,-26.22227,0,0,0
45.7,17.3,193.0,3600.0,9.415,-24.805,0,1,1
38.6,17.0,188.0,2900.0,9.18021,-25.77264,0,1,0
46.2,17.5,187.0,3650.0,9.61734,-24.66188,0,1,1
42.7,18.3,196.0,4075.0,8.91434,-26.42018,0,0,0
43.1,19.2,197.0,3500.0,8.86495,-26.1396,1,0,0
42.4,17.3,181.0,3600.0,9.35138,-24.6879,0,1,1
39.6,17.7,186.0,3500.0,8.46616,-26.12989,0,1,0
43.2,14.5,208.0,4450.0,8.48367,-26.86485,0,1,2
